ampl.tab 1 7
GENTHE	bus_genThe	np_capThe	min_capThe	fuelThe	min_hrateThe	max_urThe	max_drThe
2 	 33001 	 280.5 	 120 	 BIT3 	 11502 	 8.42 	 8.42
3 	 33137 	 363.8 	 120 	 BIT 	 11841 	 7.28 	 7.28
4 	 33029 	 36 	 0 	 NG 	 16220 	 7.2 	 7.2
5 	 33161 	 441 	 99.99 	 BIT 	 12724 	 8.82 	 8.82
6 	 30396 	 388.96 	 149.99 	 BIT2 	 12135 	 7.78 	 7.78
7 	 30397 	 616.5 	 249.98 	 BIT 	 11829 	 12.33 	 12.33
8 	 30771 	 79 	 25 	 BIT2 	 14722 	 2.37 	 2.37
9 	 30772 	 81 	 25 	 BIT 	 14722 	 2.43 	 2.43
11 	 31185 	 209.7 	 50.01 	 FO6 	 19258 	 10.49 	 10.49
12 	 31332 	 617.4 	 150 	 BIT 	 14638 	 12.35 	 12.35
14 	 37542 	 660 	 115.09 	 SUB 	 12721 	 13.2 	 13.2
16 	 37564 	 38 	 0 	 FO22 	 16250 	 7.6 	 7.6
17 	 37565 	 57 	 0 	 FO2 	 16250 	 11.4 	 11.4
18 	 37567 	 147.4 	 0 	 NG 	 16300 	 29.48 	 29.48
19 	 37566 	 76 	 0 	 NG2 	 16300 	 15.2 	 15.2
20 	 37570 	 69.2 	 0 	 NG 	 16300 	 13.84 	 13.84
21 	 37571 	 69.2 	 0 	 NG2 	 16300 	 13.84 	 13.84
22 	 37572 	 69.2 	 0 	 NG4 	 16300 	 13.84 	 13.84
24 	 37534 	 119.68 	 50 	 SUB3 	 12151 	 3.59 	 3.59
25 	 37535 	 358.16 	 113 	 SUB 	 12719 	 7.16 	 7.16
26 	 37536 	 828.32 	 434 	 UR2 	 11607 	 16.57 	 16.57
27 	 37537 	 828.32 	 434 	 UR 	 11602 	 16.57 	 16.57
28 	 37576 	 76 	 0 	 NG2 	 16300 	 15.2 	 15.2
29 	 37577 	 152 	 0 	 NG 	 16300 	 30.4 	 30.4
30 	 37594 	 147.4 	 0 	 NG 	 16300 	 29.48 	 29.48
32 	 37544 	 659.7 	 212 	 SUB2 	 12113 	 13.19 	 13.19
33 	 37545 	 659.7 	 212 	 SUB 	 12535 	 13.19 	 13.19
34 	 37582 	 44.3 	 0 	 JF2 	 16300 	 8.86 	 8.86
35 	 37583 	 44.3 	 0 	 JF 	 16300 	 8.86 	 8.86
36 	 37549 	 892.8 	 141 	 SUB 	 15667 	 17.86 	 17.86
38 	 37551 	 828.32 	 325 	 UR2 	 12121 	 16.57 	 16.57
39 	 37552 	 828.32 	 326 	 UR 	 12077 	 16.57 	 16.57
41 	 37587 	 36.85 	 0 	 FO22 	 16156 	 7.37 	 7.37
42 	 37596 	 38 	 0 	 FO2 	 16156 	 7.6 	 7.6
43 	 37590 	 152 	 0 	 JF 	 16250 	 30.4 	 30.4
44 	 37555 	 121 	 43 	 SUB 	 10861 	 3.63 	 3.63
45 	 37556 	 326.4 	 151 	 SUB3 	 9492 	 6.53 	 6.53
47 	 37560 	 299.2 	 95 	 SUB2 	 11437 	 8.98 	 8.98
48 	 37561 	 598.4 	 154 	 SUB 	 12253 	 11.97 	 11.97
