ampl.tab 1 6
GENWIN	bus_genWin	np_capWin	min_capWin	fuelWin	max_urWin	max_drWin
1 	 33001 	 250 	 50.01 	 WIND2 	 4.08 	 4.08
10 	 31184 	 239.36 	 80 	 WIND 	 7.18 	 7.18
13 	 31333 	 217.4 	 150 	 WIND2 	 12.35 	 12.35
15 	 37543 	 260 	 114.98 	 WIND3 	 13.2 	 13.2
23 	 37533 	 150 	 50 	 WIND 	 3.59 	 3.59
31 	 37541 	 360.4 	 110 	 WIND2 	 7.21 	 7.21
37 	 37550 	 192.8 	 141 	 WIND 	 17.86 	 17.86
40 	 37586 	 136.85 	 0 	 WIND 	 47.37 	 47.37
46 	 37557 	 355.3 	 151 	 WIND2 	 7.11 	 7.11
56 	 37526 	 244.95 	 28 	 WIND 	 27.25 	 27.25
61 	 37553 	 225 	 123.01 	 WIND 	 6.75 	 6.75
70 	 32274 	 323.05 	 400 	 WIND3 	 12.46 	 12.46
73 	 32407 	 150 	 49 	 WIND 	 11.5 	 11.5
87 	 32287 	 112.5 	 25 	 WIND 	 3.38 	 3.38
95 	 33301 	 180.5 	 86.5 	 WIND 	 5.42 	 5.42
107 	 35991 	 166 	 0 	 WIND2 	 0 	 0
117 	 37655 	 250 	 125 	 WIND 	 12.5 	 12.5
121 	 37700 	 286 	 143 	 WIND 	 14.3 	 14.3
127 	 37601 	 300 	 0 	 WIND2 	 34 	 34
136 	 35981 	 200 	 0 	 WIND3 	 0 	 0
151 	 37620 	 200 	 0 	 WIND 	 34.2 	 34.2
161 	 37647 	 260 	 0 	 WIND 	 32 	 32
172 	 31505 	 120 	 0 	 WIND 	 19.3 	 19.3
176 	 37683 	 100 	 0 	 WIND3 	 13.2 	 13.2
180 	 37687 	 200 	 0 	 WIND 	 7.5 	 7.5
199 	 31329 	 100 	 0 	 WIND2 	 8.8 	 8.8
204 	 37634 	 120 	 0 	 WIND 	 34 	 34
205 	 37610 	 120 	 0 	 WIND2 	 17.8 	 17.8
209 	 37673 	 100 	 0 	 WIND 	 8.2 	 8.2
219 	 31994 	 200 	 0 	 WIND 	 16 	 16
227 	 32709 	 200 	 0 	 WIND2 	 15 	 15
233 	 37630 	 100 	 0 	 WIND3 	 7.8 	 7.8
