ampl.tab 1 7
LIN	status	snd_bus	rec_bus	X	V	Pmax	install_cost
18001_30825	installed	18001	30825	0.003000	345	1273	0
18001_32339	installed	18001	32339	0.026000	345	1195	0
18008_30282	installed	18008	30282	0.257586	500	10000	0
18008_27618	installed	18008	27618	0.185553	500	10000	0
18008_25387	installed	18008	25387	0.451021	500	10000	0
18008_22668	installed	18008	22668	0.873388	500	10000	0
18008_22660	installed	18008	22660	0.146822	765	10000	0
18008_18401	installed	18008	18401	0.058558	500	10000	0
18008_31230	installed	18008	31230	0.254055	500	10000	0
18008_18037	installed	18008	18037	0.775199	500	10000	0
18008_27561	installed	18008	27561	0.411563	500	10000	0
18008_30886	installed	18008	30886	0.255704	500	10000	0
18008_30849	installed	18008	30849	0.080006	500	10000	0
18008_18035	installed	18008	18035	0.288337	500	10000	0
18008_22671	installed	18008	22671	0.280486	765	10000	0
18035_33396	installed	18035	33396	0.028500	161	335	0
18035_33392	installed	18035	33392	0.028300	161	335	0
18035_27561	installed	18035	27561	0.489094	345	10000	0
18035_18401	installed	18035	18401	0.130880	500	10000	0
18035_27618	installed	18035	27618	0.101141	161	10000	0
18035_33395	installed	18035	33395	0.027800	161	335	0
18035_18037	installed	18035	18037	0.064180	161	10000	0
18037_27618	installed	18037	27618	0.578457	161	10000	0
18037_18401	installed	18037	18401	0.580786	500	10000	0
18401_27561	installed	18401	27561	0.418082	500	10000	0
18401_22671	installed	18401	22671	0.864164	765	10000	0
18401_27618	installed	18401	27618	0.069490	500	10000	0
18401_22660	installed	18401	22660	0.465371	765	10000	0
18401_18001	installed	18401	18001	0.005700	500	1637	0
22653_22671	installed	22653	22671	0.012469	765	10000	0
22653_22668	installed	22653	22668	0.167688	345	10000	0
22653_30309	installed	22653	30309	0.013030	345	1442	0
22653_22660	installed	22653	22660	0.400080	765	10000	0
22653_25387	installed	22653	25387	0.051681	345	10000	0
22653_25540	installed	22653	25540	0.818004	345	10000	0
22653_22663	installed	22653	22663	0.025881	345	10000	0
22660_22668	installed	22660	22668	0.007743	765	10000	0
22660_25387	installed	22660	25387	0.084011	765	10000	0
22660_36260	installed	22660	36260	0.008300	765	3975	0
22660_28013	installed	22660	28013	0.558769	765	10000	0
22660_28005	installed	22660	28005	0.536357	765	10000	0
22660_27618	installed	22660	27618	0.958819	765	10000	0
22660_28001	installed	22660	28001	0.032489	765	10000	0
22660_25540	installed	22660	25540	0.948246	765	10000	0
22660_27561	installed	22660	27561	0.414080	765	10000	0
22660_22663	installed	22660	22663	0.088627	765	10000	0
22660_22671	installed	22660	22671	0.030914	765	10000	0
22663_28001	installed	22663	28001	0.916131	345	10000	0
22663_22671	installed	22663	22671	0.271970	765	10000	0
22663_25387	installed	22663	25387	0.042446	345	10000	0
22663_22668	installed	22663	22668	0.066820	345	10000	0
22663_28031	installed	22663	28031	0.384136	345	10000	0
22663_32385	installed	22663	32385	0.007400	345	937	0
22663_27561	installed	22663	27561	0.994575	345	10000	0
22663_25540	installed	22663	25540	0.770772	345	10000	0
22668_22671	installed	22668	22671	0.305935	765	10000	0
22668_28031	installed	22668	28031	0.326355	345	10000	0
22668_28010	installed	22668	28010	0.895148	345	10000	0
22668_37649	installed	22668	37649	0.047620	345	1141	0
22668_28001	installed	22668	28001	0.045573	345	10000	0
22668_25387	installed	22668	25387	0.326295	345	10000	0
22668_28005	installed	22668	28005	0.811558	345	10000	0
22668_28013	installed	22668	28013	0.630765	345	10000	0
22668_36397	installed	22668	36397	0.030300	345	1100	0
22668_28069	installed	22668	28069	0.502175	345	10000	0
22671_25387	installed	22671	25387	0.159865	765	10000	0
22671_27561	installed	22671	27561	0.641682	765	10000	0
25387_30008	installed	25387	30008	0.008700	345	1231	0
25387_25540	installed	25387	25540	0.188354	345	10000	0
25387_27561	installed	25387	27561	0.217119	345	10000	0
25540_27561	installed	25540	27561	0.805129	345	10000	0
25540_30931	installed	25540	30931	0.047800	138	287	0
27561_27567	installed	27561	27567	0.490032	345	10000	0
27561_27618	installed	27561	27618	0.192262	345	10000	0
27567_33356	installed	27567	33356	0.261910	69	36	0
27618_33352	installed	27618	33352	0.088400	161	223	0
28001_28010	installed	28001	28010	0.018079	345	10000	0
28001_28069	installed	28001	28069	0.064399	345	10000	0
28001_28012	installed	28001	28012	0.032213	345	10000	0
28001_28013	installed	28001	28013	0.040518	345	10000	0
28001_28005	installed	28001	28005	0.046712	345	10000	0
28001_28087	installed	28001	28087	0.346507	345	10000	0
28005_28010	installed	28005	28010	0.220932	345	10000	0
28005_28013	installed	28005	28013	0.074247	345	10000	0
28005_36397	installed	28005	36397	0.000100	345	1458	0
28010_28069	installed	28010	28069	0.190925	345	10000	0
28010_36279	installed	28010	36279	0.005600	345	1195	0
28010_28012	installed	28010	28012	0.603882	345	10000	0
28010_28013	installed	28010	28013	0.088367	345	10000	0
28012_36278	installed	28012	36278	0.003590	345	1195	0
28012_36392	installed	28012	36392	0.002400	345	1195	0
28012_28013	installed	28012	28013	0.793502	345	10000	0
28012_28087	installed	28012	28087	0.049004	345	10000	0
28012_28069	installed	28012	28069	0.033293	345	10000	0
28013_28069	installed	28013	28069	0.252101	345	10000	0
28013_36396	installed	28013	36396	0.000100	345	1141	0
28031_31958	installed	28031	31958	0.103700	138	239	0
28069_37262	installed	28069	37262	0.028710	138	255	0
28069_28087	installed	28069	28087	0.019582	138	10000	0
28087_37263	installed	28087	37263	0.004400	138	366	0
30003_32371	installed	30003	32371	0.000100	138	10000	0
30004_32353	installed	30004	32353	0.000100	138	10000	0
30008_30009	installed	30008	30009	0.026700	345	478	0
30009_30010	installed	30009	30010	0.047800	138	478	0
30010_30439	installed	30010	30439	0.069400	138	287	0
30010_31281	installed	30010	31281	0.081500	138	96	0
30010_31367	installed	30010	31367	0.113600	138	208	0
30015_30993	installed	30015	30993	0.008000	138	215	0
30015_31180	installed	30015	31180	0.085300	138	286	0
30015_31643	installed	30015	31643	0.024200	138	286	0
30016_30015	installed	30016	30015	0.288000	138	75	0
30017_30015	installed	30017	30015	0.226700	138	84	0
30018_31342	installed	30018	31342	0.015400	69	67	0
30018_34078	installed	30018	34078	0.015900	69	72	0
30019_30015	installed	30019	30015	0.239800	138	84	0
30022_30995	installed	30022	30995	1.008200	69	10000	0
30022_33319	installed	30022	33319	0.000970	69	63	0
30022_30919	installed	30022	30919	0.473600	69	10000	0
30044_30685	installed	30044	30685	0.006300	138	477	0
30044_30046	installed	30044	30046	1.041600	138	10000	0
30045_31825	installed	30045	31825	0.000500	138	477	0
30046_30215	installed	30046	30215	0.008300	138	348	0
30055_31463	installed	30055	31463	0.030800	138	382	0
30055_30797	installed	30055	30797	0.114100	138	279	0
30055_33315	installed	30055	33315	0.009600	138	279	0
30071_30072	installed	30071	30072	0.025400	138	75	0
30071_30073	installed	30071	30073	0.232400	138	75	0
30072_30162	installed	30072	30162	0.008000	138	180	0
30072_31568	installed	30072	31568	0.046300	138	180	0
30119_31925	installed	30119	31925	0.043800	138	174	0
30119_30780	installed	30119	30780	0.056100	138	174	0
30162_32338	installed	30162	32338	0.000100	138	96	0
30162_30878	installed	30162	30878	0.061500	138	285	0
30165_31652	installed	30165	31652	0.000100	138	147	0
30213_31320	installed	30213	31320	0.068200	230	355	0
30214_30216	installed	30214	30216	0.020000	345	700	0
30214_30215	installed	30214	30215	0.020700	345	560	0
30214_30249	installed	30214	30249	0.002100	345	1195	0
30214_32274	installed	30214	32274	0.018000	345	1297	0
30215_30639	installed	30215	30639	0.009100	138	285	0
30215_31592	installed	30215	31592	0.012400	138	285	0
30215_30640	installed	30215	30640	0.006900	138	473	0
30215_30948	installed	30215	30948	0.024800	138	473	0
30215_31679	installed	30215	31679	0.004600	138	167	0
30215_30216	installed	30215	30216	0.480610	138	10000	0
30215_30217	installed	30215	30217	0.000100	138	10000	0
30216_30217	installed	30216	30217	0.000100	138	10000	0
30216_31592	installed	30216	31592	0.012400	138	285	0
30216_31680	installed	30216	31680	0.005700	138	383	0
30216_30949	installed	30216	30949	0.024800	138	473	0
30216_32306	installed	30216	32306	0.016000	138	274	0
30216_31525	installed	30216	31525	0.008600	138	473	0
30216_32310	installed	30216	32310	0.000600	138	385	0
30216_31681	installed	30216	31681	0.005200	138	167	0
30217_30213	installed	30217	30213	0.020500	230	600	0
30249_30265	installed	30249	30265	0.000700	345	717	0
30249_31651	installed	30249	31651	0.005800	345	1193	0
30265_30266	installed	30265	30266	0.020500	345	560	0
30266_31877	installed	30266	31877	0.016000	138	285	0
30266_31755	installed	30266	31755	0.067642	138	10000	0
30266_30886	installed	30266	30886	0.754907	345	10000	0
30266_31273	installed	30266	31273	0.007200	138	285	0
30266_31764	installed	30266	31764	0.069933	138	10000	0
30274_32417	installed	30274	32417	0.047100	138	180	0
30274_30789	installed	30274	30789	0.085900	138	168	0
30282_33393	installed	30282	33393	0.119100	161	297	0
30282_30849	installed	30282	30849	0.024865	345	10000	0
30282_30886	installed	30282	30886	0.521037	345	10000	0
30291_31584	installed	30291	31584	0.012100	138	67	0
30292_30666	installed	30292	30666	0.067600	138	208	0
30292_31584	installed	30292	31584	0.012100	138	208	0
30309_31330	installed	30309	31330	0.012500	345	1195	0
30309_31321	installed	30309	31321	0.009700	345	1195	0
30309_30840	installed	30309	30840	0.010000	345	1195	0
30334_30841	installed	30334	30841	0.041800	138	279	0
30334_31062	installed	30334	31062	0.039300	138	279	0
30351_31850	installed	30351	31850	0.031900	138	179	0
30351_31063	installed	30351	31063	0.064400	138	179	0
30369_31180	installed	30369	31180	0.092300	138	279	0
30369_31558	installed	30369	31558	0.085400	138	279	0
30369_30990	installed	30369	30990	0.167400	138	152	0
30386_30387	installed	30386	30387	0.021800	345	560	0
30386_30395	installed	30386	30395	0.000200	345	1195	0
30386_31567	installed	30386	31567	0.010400	345	956	0
30387_32330	installed	30387	32330	0.012900	138	550	0
30395_31445	installed	30395	31445	0.014400	345	956	0
30395_32280	installed	30395	32280	0.032200	345	1325	0
30396_30395	installed	30396	30395	0.032700	345	435	0
30397_30395	installed	30397	30395	0.018100	345	650	0
30431_31026	installed	30431	31026	0.036900	138	208	0
30431_30704	installed	30431	30704	0.048600	138	208	0
30431_31025	installed	30431	31025	0.026000	138	208	0
30439_31351	installed	30439	31351	0.047700	138	279	0
30492_31350	installed	30492	31350	0.015700	345	1307	0
30492_32327	installed	30492	32327	0.018200	345	1195	0
30492_32339	installed	30492	32339	0.000100	345	1571	0
30492_31916	installed	30492	31916	0.021400	345	478	0
30500_30693	installed	30500	30693	0.062800	138	143	0
30500_31558	installed	30500	31558	0.000100	138	287	0
30500_31698	installed	30500	31698	0.008600	138	285	0
30516_31322	installed	30516	31322	0.044400	138	263	0
30516_30524	installed	30516	30524	0.007800	138	263	0
30524_31331	installed	30524	31331	0.086000	138	279	0
30584_31180	installed	30584	31180	0.086300	138	208	0
30584_30789	installed	30584	30789	0.075700	138	208	0
30612_30615	installed	30612	30615	0.092500	138	150	0
30613_30615	installed	30613	30615	0.092300	138	150	0
30614_31471	installed	30614	31471	0.064600	138	168	0
30614_32348	installed	30614	32348	0.109560	138	164	0
30614_30615	installed	30614	30615	0.010200	138	287	0
30622_31472	installed	30622	31472	0.089500	138	191	0
30622_31958	installed	30622	31958	0.055500	138	279	0
30639_30640	installed	30639	30640	1.226080	138	10000	0
30639_31525	installed	30639	31525	0.393712	138	10000	0
30639_31680	installed	30639	31680	0.976015	138	10000	0
30640_30948	installed	30640	30948	0.734400	138	10000	0
30640_31525	installed	30640	31525	0.022230	138	10000	0
30640_30949	installed	30640	30949	0.758717	138	10000	0
30640_30886	installed	30640	30886	0.218210	345	10000	0
30666_30670	installed	30666	30670	0.057200	138	250	0
30666_30999	installed	30666	30999	0.068500	138	208	0
30666_32293	installed	30666	32293	0.090700	138	210	0
30666_31489	installed	30666	31489	0.093000	138	285	0
30666_30671	installed	30666	30671	0.057200	138	250	0
30666_30669	installed	30666	30669	0.098900	138	120	0
30668_30997	installed	30668	30997	0.123540	13.8	50	0
30668_30998	installed	30668	30998	0.122450	13.8	50	0
30685_31273	installed	30685	31273	0.002500	138	477	0
30694_30695	installed	30694	30695	0.030500	69	36	0
30695_31313	installed	30695	31313	0.181100	69	67	0
30695_30693	installed	30695	30693	0.066700	138	96	0
30695_30870	installed	30695	30870	0.013600	69	40	0
30695_30861	installed	30695	30861	0.302200	69	25	0
30704_31289	installed	30704	31289	0.028800	138	208	0
30712_31054	installed	30712	31054	0.075900	138	185	0
30712_32407	installed	30712	32407	0.007100	138	283	0
30728_31916	installed	30728	31916	0.045500	138	208	0
30728_31025	installed	30728	31025	0.022700	138	279	0
30729_31991	installed	30729	31991	0.091700	345	182	0
30730_31991	installed	30730	31991	0.091700	345	182	0
30731_31991	installed	30731	31991	0.040300	345	413	0
30736_32390	installed	30736	32390	0.089100	138	165	0
30736_31472	installed	30736	31472	0.084700	138	191	0
30744_31034	installed	30744	31034	0.302510	161	10000	0
30744_31698	installed	30744	31698	0.034200	138	285	0
30744_31114	installed	30744	31114	0.122600	138	285	0
30770_30772	installed	30770	30772	0.140000	138	80	0
30770_31010	installed	30770	31010	0.039400	138	191	0
30770_30841	installed	30770	30841	0.144700	138	173	0
30770_31322	installed	30770	31322	0.195200	138	174	0
30770_30771	installed	30770	30771	0.138900	138	80	0
30780_32335	installed	30780	32335	0.016400	138	143	0
30788_30789	installed	30788	30789	0.028000	345	448	0
30788_33161	installed	30788	33161	0.010100	345	717	0
30789_30990	installed	30789	30990	0.086800	138	191	0
30789_32407	installed	30789	32407	0.060500	138	246	0
30797_32412	installed	30797	32412	0.030200	138	169	0
30822_31643	installed	30822	31643	0.101400	138	287	0
30822_31908	installed	30822	31908	0.169200	138	198	0
30825_30849	installed	30825	30849	0.021100	345	1273	0
30825_33394	installed	30825	33394	0.020660	345	600	0
30830_31924	installed	30830	31924	0.063700	230	478	0
30831_30832	installed	30831	30832	0.001500	69	60	0
30840_30841	installed	30840	30841	0.028400	345	448	0
30840_32387	installed	30840	32387	0.017900	345	971	0
30841_31297	installed	30841	31297	0.068200	138	174	0
30841_31454	installed	30841	31454	0.060900	138	131	0
30849_31489	installed	30849	31489	0.899173	345	10000	0
30849_31230	installed	30849	31230	0.596490	345	10000	0
30849_31870	installed	30849	31870	0.464533	345	10000	0
30849_30886	installed	30849	30886	0.092847	345	10000	0
30859_30870	installed	30859	30870	0.218986	69	10000	0
30859_30861	installed	30859	30861	0.290595	69	10000	0
30859_34181	installed	30859	34181	0.835576	161	10000	0
30861_30870	installed	30861	30870	0.290000	69	25	0
30870_31437	installed	30870	31437	0.794000	161	10000	0
30870_34181	installed	30870	34181	0.651441	161	10000	0
30876_30878	installed	30876	30878	0.091600	138	150	0
30877_30878	installed	30877	30878	0.092800	138	150	0
30878_32336	installed	30878	32336	0.041200	138	277	0
30878_30966	installed	30878	30966	0.113200	138	150	0
30886_31764	installed	30886	31764	0.152026	345	10000	0
30886_31747	installed	30886	31747	0.017502	345	10000	0
30886_31870	installed	30886	31870	0.192573	345	10000	0
30886_31489	installed	30886	31489	0.375644	345	10000	0
30886_31525	installed	30886	31525	0.181462	345	10000	0
30886_30948	installed	30886	30948	0.143468	345	10000	0
30886_30949	installed	30886	30949	0.147714	345	10000	0
30886_31755	installed	30886	31755	0.094765	345	10000	0
30905_32290	installed	30905	32290	0.003900	138	180	0
30906_32291	installed	30906	32291	0.003900	138	180	0
30919_32360	installed	30919	32360	0.262500	138	33	0
30931_31626	installed	30931	31626	0.087700	138	208	0
30931_31367	installed	30931	31367	0.092500	138	208	0
30948_31747	installed	30948	31747	0.881192	345	10000	0
30948_31525	installed	30948	31525	0.610842	138	10000	0
30948_30949	installed	30948	30949	0.173762	138	10000	0
30949_31747	installed	30949	31747	0.943830	345	10000	0
30949_31525	installed	30949	31525	0.631057	138	10000	0
30966_31367	installed	30966	31367	0.091200	138	207	0
30966_31331	installed	30966	31331	0.080400	138	286	0
30990_30991	installed	30990	30991	0.010000	138	271	0
30991_31341	installed	30991	31341	0.152100	138	261	0
30992_30995	installed	30992	30995	0.325900	69	10000	0
30993_32412	installed	30993	32412	0.073900	138	215	0
30995_30993	installed	30995	30993	0.176600	138	50	0
30997_30667	installed	30997	30667	0.107020	69	33	0
30997_30666	installed	30997	30666	0.302270	138	50	0
30998_30667	installed	30998	30667	0.113390	69	50	0
30998_30666	installed	30998	30666	0.295710	138	50	0
30999_31383	installed	30999	31383	0.040800	138	168	0
