ampl.tab 1 2
BUS	lat_bus	lon_bus
18001	-87.1581	37.36144
18008	-87.1581	37.36144
18035	-88.53312	36.759
18037	-88.53312	36.759
18401	-87.1581	37.36144
22653	-87.1581	41.5
22660	-87.1581	41.5
22663	-87.1581	41.5
22668	-87.1581	41.5
22671	-87.1581	41.5
25387	-87.1581	39.7712
25540	-87.1581	39.7712
27561	-87.1581	38.56632
27567	-87.1581	38.56632
27618	-87.1581	38.56632
28001	-87.1581	40.97608
28005	-87.1581	40.97608
28010	-87.1581	40.97608
28012	-87.1581	40.97608
28013	-87.1581	40.97608
28031	-87.1581	40.97608
28069	-87.1581	40.97608
28087	-87.1581	40.97608
30003	-89.55	38.22
30004	-89.55	38.22
30008	-88.05723	38.37623
30009	-88.05723	38.37623
30010	-88.05723	38.37623
30015	-90.43365	39.5594
30016	-90.43777778	39.56027778
30017	-90.43777778	39.56027778
30018	-90.67	39.92
30019	-90.43777778	39.56027778
30022	-90.67	39.92
30044	-89.18947	38.3291
30045	-89.18947	38.3291
30046	-89.18947	38.3291
30055	-89.74591	39.57729
30071	-88.8041	38.98811
30072	-88.8041	38.98811
30073	-88.8041	38.98811
30119	-88.91855	38.0071
30162	-89.11001	39.0079
30165	-89.55	38.22
30213	-90.1777	38.56481
30214	-90.1777	38.56481
30215	-90.1777	38.56481
30216	-90.1777	38.56481
30217	-90.1777	38.56481
30249	-89.50133333	37.9007
30265	-90.82482	37.96388
30266	-90.82482	37.96388
30274	-90.04038	40.56259
30282	-90.82482	37.96388
30291	-89.21747	37.72468
30292	-89.21747	37.72468
30309	-87.98937	39.3026
30334	-88.17611	39.48486
30351	-88.28154	39.83157
30369	-90.68157	39.93358
30386	-89.39061	39.08891
30387	-89.39061	39.08891
30395	-89.39061	39.08891
30396	-89.39061	39.08891
30397	-89.39061	39.08891
30431	-88.92949	37.73286
30439	-88.06449	38.16267
30492	-88.92949	37.9007
30500	-91.38874	39.93358
30516	-88.55098	39.11968
30524	-88.55098	39.11968
30584	-90.32334	40.02441
30612	-89.38284	40.46761
30613	-89.38284	40.46761
30614	-89.37865	40.46569
30615	-89.37865	40.46569
30622	-87.99617	40.76598
30639	-89.50133333	37.64191667
30640	-89.50133333	37.64191667
30666	-89.50133333	37.64191667
30667	-89.50133333	37.64191667
30668	-89.50133333	37.64191667
30669	-89.50133333	37.64191667
30670	-89.50133333	37.64191667
30671	-89.50133333	37.64191667
30685	-90.82482	37.96388
30693	-91.36337	40.38917
30694	-91.36337	40.38917
30695	-91.36337	40.38917
30704	-88.55	38.86
30712	-90.05695	40.29847
30728	-89.03172	37.8016
30729	-88.55	38.86
30730	-88.55	38.86
30731	-88.55	38.86
30736	-87.67091	40.46522
30744	-91.20512	39.70916
30770	-87.66066	39.10874
30771	-87.65972222	39.13388889
30772	-87.66066	39.10874
30780	-88.90379	38.15222
30788	-90.32334	40.35212
30789	-90.32334	40.35212
30797	-90.23441	39.72974
30822	-90.32809	39.11958
30825	-88.84432	37.20583
30830	-88.84432	37.20583
30831	-88.84432	37.20583
30832	-88.84432	37.20583
30840	-87.93998	39.5539
30841	-87.93998	39.5539
30849	-90.82482	37.96388
30859	-91.36337	40.38917
30861	-91.36337	40.38917
30870	-91.36337	40.38917
30876	-89.01277778	38.765
30877	-89.01277778	38.765
30878	-88.84964	38.77403
30886	-90.82482	37.96388
30905	-89.55	38.22
30906	-89.55	38.22
30919	-90.67	39.92
30931	-87.68797	38.72647
30948	-89.55	38.22
30949	-89.55	38.22
30966	-88.50738	38.76958
30990	-90.68157	40.47043
30991	-90.68157	40.47043
30992	-90.629555	39.48551889
30993	-90.45669	39.62946
30995	-90.45669	39.62946
30997	-89.50133333	37.64191667
30998	-89.50133333	37.64191667
30999	-89.23732	37.61917
31010	-88.55	38.86
31015	-92.173653	38.576099
31023	-88.94142	37.73286
31025	-88.94142	37.73286
31026	-88.94142	37.73286
31034	-90.82482	37.96388
31054	-89.6963	40.20186
31062	-88.36888	39.47707
31063	-88.36888	39.47707
31114	-90.68157	39.11958
31115	-90.68157	39.11958
31180	-90.55846	39.83157
31181	-90.55846	39.83157
31182	-90.55846	39.83157
31183	-90.55846	39.83157
31184	-90.56805556	39.8225
31185	-90.56805556	39.8225
31211	-92.173653	38.576099
31212	-92.173653	38.576099
31213	-92.173653	38.576099
31230	-90.82482	37.96388
31248	-89.16312	37.08562
31256	-89.01774	39.6254
31273	-90.82482	37.96388
31281	-87.77012	38.41725
31283	-87.77012	38.41725
31289	-88.51681	37.76501
31297	-88.07188	39.79768
31313	-92.173653	38.576099
31319	-89.01774	39.6254
31320	-89.60444	38.18499
31321	-88.45159	39.32168
31322	-88.45542	39.32161
31323	-88.55	38.86
31324	-88.55	38.86
31325	-88.55	38.86
31326	-88.55	38.86
31327	-88.55	38.86
31328	-88.55	38.86
31329	-88.55	38.86
31330	-88.16338	38.98811
31331	-88.16338	38.98811
31332	-88.27777778	38.93638889
31333	-88.27777778	38.93638889
31340	-91.38874	40.49342
31341	-91.38874	40.49342
31342	-91.38874	40.49342
31350	-88.32828	37.97951
31351	-88.32828	37.97951
31367	-88.08534	38.73146
31383	-89.55	38.22
31437	-90.82482	37.96388
31445	-89.07854	39.38666
31446	-89.07854	39.38666
31454	-87.69153	39.61557
31462	-89.58098	39.59206
31463	-89.58098	39.59206
31471	-88.0995	40.4584
31472	-88.0995	40.4584
31489	-90.82482	37.96388
31500	-89.38509	38.07741
31501	-89.3843	38.0782
31502	-89.3843	38.0782
31503	-89.3843	38.0782
31504	-89.3843	38.0782
31505	-89.3843	38.0782
31506	-89.3843	38.0782
31525	-90.82482	37.96388
31550	-91.38874	39.93358
31558	-91.38874	39.93358
31559	-91.38874	39.93358
31567	-89.11001	39.14388
31568	-89.11001	39.14388
31576	-88.15558	40.3034
31584	-89.55	38.22
31592	-89.55	38.22
31618	-88.15558	40.3034
31626	-87.7405	39.0079
31643	-90.37353	39.4847
31651	-89.76959	38.765
31652	-89.76959	38.765
31679	-89.55	38.22
31680	-89.55	38.22
31681	-89.55	38.22
31698	-91.38874	39.93358
31731	-88.8041	39.40709
31739	-88.07188	40.02441
31747	-90.82482	37.96388
31755	-90.82482	37.96388
31764	-90.82482	37.96388
31785	-89.24046	38.03129
31806	-89.26225	39.52151
31807	-89.26225	39.52151
31825	-89.24046	38.03129
31826	-89.24046	38.03129
31849	-88.28154	39.79768
31850	-88.28154	39.79768
31870	-90.82482	37.96388
31876	-90.16885	38.6721
31877	-90.16885	38.6721
31878	-90.175	38.65833333
31879	-90.16885	38.6721
31880	-90.16885	38.6721
31881	-90.16885	38.6721
31882	-90.16885	38.6721
31883	-90.16885	38.6721
31884	-90.16885	38.6721
31885	-90.16885	38.6721
31886	-90.16885	38.6721
31908	-89.76959	39.50494
31916	-88.92949	37.9007
31924	-88.92949	37.9007
31925	-88.92949	37.9007
31958	-87.73216	40.77597
31991	-88.80218	39.41
31993	-88.63712	38.63682
31994	-88.63712	38.63682
31995	-88.63712	38.63682
31996	-88.63712	38.63682
31997	-88.63712	38.63682
31998	-88.63712	38.63682
31999	-88.63712	38.63682
32268	-88.97362	40.47899
32269	-88.97362	40.47899
32271	-90.13472222	38.86388889
32272	-90.13472222	38.86388889
32273	-87.74805556	40.17805556
32274	-89.85444444	38.205
32275	-89.84466	38.18377
32276	-89.85444444	38.205
32277	-89.85444444	38.205
32278	-90.11642306	38.72205889
32279	-90.11642306	38.72205889
32280	-89.76959	38.765
32281	-89.60632	38.60784
32282	-89.43	38.39
32283	-89.43	38.39
32284	-89.71564	38.15283
32285	-89.85444444	38.205
32286	-89.68336	38.21195
32287	-90.13472222	38.86388889
32288	-89.46066	39.16264
32289	-90.13472222	38.86388889
32290	-90.13472222	38.86388889
32291	-90.13472222	38.86388889
32292	-90.13472222	38.86388889
32293	-89.5511	37.93022
32294	-90.13472222	38.86388889
32295	-89.81727	39.1254
32296	-89.78856	39.01261
32297	-89.6561	39.17591
32298	-89.81727	39.1254
32299	-90.13472222	38.86388889
32300	-90.13472222	38.86388889
32301	-90.15044	38.67675
32302	-90.13472222	38.86388889
32303	-90.15044	38.67675
32304	-89.4	39.21
32305	-90.13472222	38.86388889
32306	-90.20972	38.51755
32307	-90.00334	38.53002
32308	-90.13472222	38.86388889
32309	-89.99737	38.67845
32310	-90.10168	38.57727
32311	-90.00334	38.53002
32312	-90.00334	38.53002
32313	-89.79621	38.37793
32314	-90.00334	38.53002
32315	-89.68336	38.21195
32316	-89.60444	38.18499
32319	-89.71564	38.15283
32320	-89.66084	38.00758
32321	-89.84466	38.18377
32322	-90.00334	38.53002
32323	-89.43	38.39
32324	-89.80553	38.50916
32325	-90.00334	38.53002
32326	-89.37783	38.3482
32327	-88.76475	38.31763
32328	-88.76475	38.31763
32329	-89.01277778	38.3291
32330	-89.48833333	39.11958
32331	-89.46066	39.16264
32332	-89.40172	38.88934
32333	-89.12703	38.52288
32334	-89.18947	38.3291
32335	-88.96602	38.17634
32336	-88.95188	38.62832
32337	-89.43	38.39
32338	-89.11001	39.0079
32339	-90.00334	38.53002
32340	-89.54835	38.43423
32341	-89.43	38.39
32342	-89.43	38.39
32343	-89.17335	40.52893
32344	-89.35	40.93
32345	-88.83333333	40.16666667
32346	-88.83333333	40.16666667
32347	-88.8333333	40.4644444
32348	-88.8333333	40.4644444
32349	-88.95502	40.03827
32350	-88.95502	40.03827
32351	-88.86932	39.93796
32352	-88.86932	39.93796
32353	-88.8333333	39.79768
32355	-89.07854	39.38666
32356	-89.16197	39.96693
32357	-89.16197	39.96693
32358	-89.16197	39.96693
32359	-89.16197	39.96693
32360	-89.16197	39.96693
32361	-89.26225	39.79768
32362	-88.93393	39.85229
32363	-88.93393	39.85229
32364	-88.80218	39.93358
32365	-88.80218	39.93358
32366	-89.07854	39.83157
32367	-89.4	39.21
32368	-88.80218	39.93358
32369	-89.01774	39.6254
32370	-88.80218	39.93358
32371	-88.36888	39.79768
32372	-88.87861	39.77797
32373	-89.4	39.21
32374	-88.97362	40.47899
32375	-89.35	40.93
32376	-88.83333333	40.16666667
32377	-88.83333333	40.16666667
32378	-88.99948	40.51741
32379	-89.05707694	40.545
32380	-89.01486	40.73983
32381	-89.03753	40.90365
32382	-89.37865	40.1666667
32383	-89.37865	40.1666667
32384	-88.5	40.08
32385	-87.74805556	39.93796
32386	-87.74805556	39.93796
32387	-88.07188	40.02441
32388	-88.07188	40.02441
32389	-88.97362	40.47899
32390	-87.74805556	40.17805556
32391	-88.5	40.08
32392	-88.5	40.08
32393	-87.64515611	40.09773889
32394	-88.5	40.08
32395	-87.64515611	40.09773889
32396	-88.265	40.11303
32397	-88.40182	40.19388
32398	-88.76475	40.34162
32399	-88.5	40.08
32400	-88.265	40.11303
32401	-88.265	40.11303
32402	-88.265	40.11303
32403	-88.5	40.08
32404	-88.16338	40.11303
32405	-88.16338	40.11303
32407	-90.08	40.27972222
32408	-89.74029	40.08484
32409	-89.48189	40.01936
32410	-88.16338	40.11303
32411	-89.6788889	40.545
32412	-90.19331	39.67291
32415	-90.37806	40.95008
32416	-90.64313	40.91342
32417	-90.19331	40.49342
32418	-89.3197	41.25601
32419	-89.315	41.16326
32420	-89.315	41.16326
32421	-89.315	41.16326
32422	-89.46692	41.37848
32423	-89.92568	41.24118
32424	-89.35	40.93
32425	-89.46692	40.76598
32426	-89.06462	41.29457
32427	-88.83947	41.35028
32428	-88.83947	41.35028
32429	-89.09357	41.33999
32430	-89.09357	41.33999
32431	-88.68791	41.32781
32432	-88.83947	41.35028
32433	-89.35	40.93
32434	-89.46692	41.37848
32435	-89.05707694	41.293265
32436	-89.06462	41.29457
32437	-89.06462	41.29457
32439	-90.11642306	38.72205889
32440	-90.11642306	38.72205889
32441	-90.13472222	38.86388889
32442	-89.315	41.30277778
32443	-89.315	41.30277778
32444	-87.58746	39.57976
32445	-87.74805556	40.17805556
32446	-87.58746	39.57976
32447	-88.8333333	40.4644444
32448	-87.58746	39.57976
32476	-88.96164	40.15036
32510	-89.43	38.39
32512	-89.43	38.39
32530	-89.43	38.39
32567	-89.43	38.39
32568	-89.43	38.39
32570	-89.48448	39.16317
32571	-89.48448	39.16317
32597	-89.4	39.21
32600	-90.64313	40.91342
32601	-90.64313	40.91342
32602	-89.35	40.93
32603	-89.35	40.93
32604	-89.92568	41.24118
32605	-89.35	40.93
32606	-89.3197	41.25601
32607	-89.46692	41.37848
32608	-89.06462	41.29457
32609	-89.09357	41.33999
32610	-89.09357	41.33999
32611	-88.83947	41.35028
32612	-88.68791	41.32781
32613	-89.05707694	40.545
32614	-88.97362	40.47899
32615	-88.99948	40.51741
32616	-87.64515611	40.09773889
32617	-88.265	40.11303
32618	-88.265	40.11303
32619	-88.265	40.11303
32620	-88.265	40.11303
32622	-88.16338	40.11303
32623	-88.57166	39.92288
32624	-88.5916	39.79856
32625	-88.57166	39.92288
32626	-89.07854	39.83157
32627	-88.93393	39.85229
32628	-88.93393	39.85229
32629	-88.80218	39.93358
32630	-88.80218	39.93358
32632	-88.5	40.08
32633	-88.80218	39.93358
32634	-88.8333333	39.79768
32640	-88.80218	39.93358
32641	-89.4	39.21
32642	-90.11642306	38.72205889
32643	-89.4	39.21
32644	-89.99737	38.67845
32645	-89.4	39.21
32646	-89.4	39.21
32647	-89.4	39.21
32648	-90.15044	38.67675
32649	-90.11642306	38.72205889
32650	-89.48833333	39.11958
