ampl.tab 1 1
LOAD	bus_load
1	32620
2	37169
3	37168
4	37165
5	37163
6	37162
7	36879
8	36878
9	36877
10	36515
11	36514
12	36874
13	36873
14	32619
15	36511
16	36872
17	32618
18	36510
19	32617
20	32616
21	32615
22	39329
23	32614
24	32613
25	32612
26	32611
27	32610
28	37155
29	37154
30	36509
31	37151
32	36508
33	37150
34	36507
35	36867
36	36866
37	36865
38	36864
39	36863
40	32609
41	36501
42	36862
43	32608
44	36500
45	36861
46	32607
47	36860
48	32606
49	32605
50	32604
51	32603
52	32602
53	32601
54	32600
55	30439
56	30797
57	37149
58	37148
59	30431
60	37145
61	37144
62	37143
63	37142
64	37141
65	36859
66	37140
67	36858
68	36857
69	36856
70	30789
71	37139
72	37138
73	37137
74	37136
75	30780
76	37131
77	36849
78	37130
79	36848
80	36847
81	36846
82	36845
83	36844
84	36843
85	36842
86	36840
87	31063
88	31062
89	37129
90	37128
91	37488
92	37127
93	37487
94	37126
95	30772
96	37486
97	30771
98	37485
99	37124
100	30770
101	37484
102	37483
103	37482
104	37481
105	37480
106	36836
107	36835
108	36834
109	36833
110	31850
111	36832
112	36831
113	36830
114	31054
115	37479
116	37478
117	37117
118	37116
119	31849
120	37473
121	37472
122	37111
123	37471
124	37110
125	37470
126	36825
127	36824
128	37109
129	37108
130	37104
131	37103
132	18401
133	37102
134	37101
135	36819
136	37100
137	36818
138	36817
139	36816
140	36815
141	36814
142	36813
143	36812
144	30744
145	32476
146	27561
147	36809
148	36808
149	36807
150	36806
151	36368
152	31025
153	31383
154	30736
155	37444
156	37443
157	37442
158	25387
159	37441
160	37440
161	30292
162	30291
163	31015
164	30728
165	31010
166	37439
167	37438
168	37437
169	37436
170	37435
171	31807
172	31806
173	31367
174	37427
175	30712
176	37426
177	37425
178	37424
179	30274
180	36699
181	33088
182	36698
183	36695
184	31351
185	33084
186	36693
187	36692
188	36691
189	30704
190	36690
191	32433
192	37414
193	37413
194	37412
195	37411
196	37410
197	36689
198	36688
199	31342
200	36323
201	36684
202	33073
203	32429
204	36682
205	36681
